Legends of Oz (1993);LegOz
Lemmings for Windows (1995);Lemm3x
Lenny's Music Toons (1993);LennysMu
Let's Explore the Jungle (1995);LetsExpl
Let's Talk About Me (1996);LetsTalk
Guignols de l'Info, Les - Le Cauchemar de PPD (1996);LGdePPD
Guignols De L'Info, Les...Le Jeu ! (1995);LGLeJeu
Liam Finds a Story (1996);LiamStor
Disney's The Lion King Activity Center (1995);LionKAC
Literati (1994);Literati
Lighthouse - The Dark Being (1996);LitHou3x
Lights Out 3D (1996);LitOut3D
Little Samurai, The (1996);LitSam
Little Monster at School (1994);LittleMo
Live Action Football (1994);LiveActi
Living Puzzles - Triazzle (1995);LivingPu
Logical Journey of the Zoombinis (1996);LogicalJ
Loony Labyrinth (1995);LoonLaby
Lode Runner - The Legend Returns (1994);LRLR3x
Leisure Suit Larry 6 - Shape Up or Slip Out! (1994);lsl6win
Leisure Suit Larry - Love for Sail! (1996);LSL73x
Laserstrike (1993);LsrStrik
Lucas's Problem (1990);LucassPr
Lunacy for Windows (1995);Lunacy95
Lunicus (1994);Lunicus
Las Vegas Super Casino (1997);LVSupCas
Life with Louie - Lake Winnibigoshish (1996);LwLLW
Maabus (1995);Maabus
Macbeth (1995);macbeth
MacBlaster (1992);MacBlast
Madeline's Rainy Day Activities (1996);Madeline
Madeline And The Magnificent Puppet Show (1995);MadPupSh
Madness of Roland, The (1995);madrolan
MagnaFlux Runner (1993);MagnaFlu
Magic Theatre (1994);magtheat
Majestic Part 1 - Alien Encounter (1995);Majestic
Manhole, The - New and Enhanced (1992);ManE3x
Maniac Sports (1994);ManiacSp
Marble Drop (1997);MarbleDr
Marty And The Trouble With Cheese (1996);MartChes
Masque Blackjack (1994);MasqueBl
Masque Caribbean Stud Poker (1995);MasqueCa
Masque ChessNet 3 (1994);MasqueCh
Masque Solitaire Antics (1994);MasqueSo
Masque Video Poker (1995);MasqueVi
Masterpiece Mansion (1995);MastMans
Math Blaster - Episode 1 - In Search of Spot (1994);MathBla1
Math Blaster Mystery - The Great Brain Robbery (1994);MathBlaM
Math Heads (1996);MathHead
Math Master (1997);MathMast
Math Munchers Deluxe (1995);MathMunc
Math Rabbit Deluxe (1993);MathRabD
Millennium Auction (1994);Mauction
Maui Mallard in Cold Shadow (1996);MauiMall
Maven (1995);Maven
Mavis Beacon Teaches Typing! for Kids (1994);Mavis3x
MayaQuest Trail (1995);MayaQues
Mazemaker (1992);Mazemake
Math Blaster - Episode 2 - Secret of the Lost City (1994);MBlast2
Multimedia Celebrity Poker (1995);MCelePkr
McKenzie and Co. (1995);McKenzie
Merlin's Apprentice (1995);MerlinsA
Magic Fairy Tales - Barbie As Rapunzel (1997);MFTBarb
Michael Ninn's Latex - The Game (1996);MichaelN
MicroMan (1993);MicMan93
Midnight Stranger (1993);MidStran
Mike Mulligan and His Steam Shovel (1996);MikeMull
Mile Bones (1994);MileBone
Millie's Math House (1992);MilliesM
Millie Meters Nutrition Adventure (2001);MilMete1
Milo (1996);Milo
Mind Games Entertainment Pack for Windows (1997);MindGame
Mind Grind (1996);mindgrin
Mines (1990);Mines
