$100,000 Pyramid (1988);$100000P
Piece of Cake (1984);PieceOCk
Pig Pooyan (1995);PigPooya
Pike - Operacija Gromoverzhec (1996);PikeOper
Pilgrim Quest (1991);PilgrimQ
Space Pilot (1994);pilot
Pilot, or, A Flight Into Fantasy, The (1989);PilotorA
Pim-Pam-Pum (1992);PimPam
PimpWars (1990);pimpwars
Pinball 4000 (1996);Pin4K
Pinball 2000 (1995);Pinball2
Pinball Construction Set (1985);PinballC
Pinball Prelude (1996);PinballP
Pinball World (1995);PinballW
Pinball Dreams (1992);pinblld
Pinball Dreams II (1994);pinblld2
Pinball Fantasies (1992);pinbllf
Pinball Illusions (1995);pinblli
Pinball Mania (1995);pinbllm
Pinball Magic (1990);PinBMag
Pinball Warriors (1997);PinBWarr
Ping and Kookys Cuckoo Zoo (1993);PingKook
Pinocle Games (1991);PinocleG
Pipe Dream (1989);PipeDrea
Pipeline (1992);PipeLi92
Pipes (1983);Pipes83
Pirada I - The Fearless (1992);PiradaTF
Pirate's Adventure (1992);piradv92
Piranha (1996);Piranha
Pirate Adventure (1978);piratead
Pirates! Gold (1993);Pirates
Pirates of the Barbary Coast (1987);Pirateso
Piso Zero (1991);PisoZero
Pitfall (1984);Pitfall
Pitfall II - Lost Caverns (1984);Pitfall2
Pit-Fighter (1991);PitFigh
Pitman (2004);Pitman04
Pitstop II (1984);pitstop2
Pixel Puzzler (1990);pixpuzz
Pizza Quest I - Cruisin for a Bruisin (198x);PizzaQ1
Pizza Tycoon (1994);PizzaTyc
Pizza Worm (1994);PizzaWor
Poker Challenge - 7 Card Stud Version (1989);PkrC7CSV
Poker Relay (1990);PkrRelay
Plague of the Moon (1994);plagmoon
Plague - Maze of the Mind (1996);plague
Plan 9 From Outer Space (1992);plan9
Planet's Edge - The Point of No Return (1991);planedge
Planetfall (1983);planetf
Planet Soccer (1994);PlanetS
Planet X3 (2018);PlanetX3
Planets - The Exploration of Space (1992);PlanExSp
Planet of Lust (1989);planlust
Planet of the Robots (1986);PlanRobo
Planet Siege (1995);PlanSieg
Plasma Spheres II (1998);PlasmaS2
Plates (1993);Plates93
Platform Heels (1991);PlatHeel
Platoon (1987);Platoon
Player Manager 2 (1995);PlayerMa
Playhouse Strip Poker (1988);Playhous
PlayMaker Football (1991);PlayMak1
PLEBS (1989);Plebs89
Plexu - The Time Travellers (1990);PlexutTT
Plix (1993);plix
Pulsar Flux (2001);PlsarFlx
Plunder and Pillage (2001);plunpill
Perry Mason - The Case of the Mandarin Murder (1986);pmason
Personal Nightmare (1989);pnite
Pocahontas (1995);Pocahont
Pocket Rockets (1989);PocketRo
Palace of Deceit - The Secret of Castle Lockemoer, The (1991);PoDtSoCL
Point of Attack (1991);Pointof
Poke-Man (1982);PokeMan
Poker Galore (1992);PokerGal
Poko Memorial 18th Hole Miniature Golf (1987);PokoMemo
Pokso Bowling (1995);PoksoB
Polanie (1996);polanie
Pole Position II (1988);PolePos2
Pole Position (1986);PolePosi
Pol-Gol! (1996);PolGol
PolyMaze (1983);PolyMaze
Pong (1995);Pong1995
Pong Kombat (1994);PongKomb
Poof (1994);Poof1994
Poogaboo - La Pulga 2 (1991);Poogaboo
Pools of Darkness (1991);pooldark
Pool of Radiance (1988);poolrad
Pool Shark (1993);PoolSha
Popcorn (1988);Popcorn
Popeye 2 (1992);Popeye2
Popeye 3 - WrestleCrazy (1995);PopEye3
Popo Car (1994);PopoCar
Pole Position (1996);PoPosit
Populous (1989);Populous
Populous II - Trials of the Olympian Gods (1993);Populs2
Pork 1 - The Great Underground Sewer System (1991);Pork1
Pork 2 - The Gizzard of Showbiz (1989);Pork2
Porky's Strip Poker (1993);PorkySP
Porno Adventure (1987);PornoAdv
PornPipe (1993);pornpipe
Porntris (1993);Porntris
Portal (1986);portal
Ports of Call (1989);PortsofC
Postman Only Dies Once, The (2001);PostmanD
Postman Pat 3 - To the Rescue (1992);PostmanP
Powball (1997);Powball
Power Drift (1990);PowDrift
Power Drive (1994);PowDrive
Power Dolls (1994);PowerDol
Powerdrome (1990);Powerdro
Power F1 (1997);PowerF1
PowerMonger (1992);PowerMon
Power Putt (1992);PowerPu
Powerslave (1996);PowSlav
Power Struggle (1988);PowStrug
Peter Pan and Robin Hood Fairy Tale Factory (1992);PPanRHFT
Pick Up the Phone Booth and Die (1996);ppbad
Pro Pinball - Big Race USA (1998);PPBigRac
Prince of Persia (1990);Ppersia
Prince of Persia 2 - The Shadow & The Flame (1993);PPersia2
Picture Perfect Golf (1995);PPGolf
Police Quest 1 - In Pursuit of the Death Angel (1987);PQ1
Police Quest 1 - In Pursuit of the Death Angel VGA (1990);PQ1_VGA
Police Quest 2 - The Vengeance (1988);PQ2
Police Quest 3 - The Kindred (1991);PQ3
Police Quest 4 - Open Season (1993);PQ4
Police Quest SWAT (1995);pqswat
Prawo krwi (1996);Prawokr
Pray for Death (1996);PrayforD
Predator 2 (1990);Predator
Pref Club (1991);PrefClub
Prehistorik 2 (1993);Prehist2
Prehistorik (1991);Prehisto
Premier Manager (1992);PremM
President's Choice (1984);PresChoi
Presumed Guilty (1989);presguil
President Elect - 1988 Edition (1987);Presiden
President is Missing, The (1988);presmis
Press Your Luck (1988);PressYou
PretzelDash (2000);PretzlDs
Primal Rage (1995);PrimalRa
Prime Time (1988);PrimeTim
Princess Bubble (1998);PrinBubb
Prince (1989);Prince89
Prince of Evil (1993);PrinEvil
Princess Maker 2 (1993);PrinMak2
Princess Red Keyboard Warrior (2016);PrinRKW
Prison Amok (1997);PrisonAm
Privateer 2 The Darkening (Special Edition) (1996);Priv2SE
Privateer (1984);Priv84
Premier Manager 2 (1993);PrmMan2
Premier Manager 3 (1994);PrmMan3
Premier Manager 3 De-Luxe (1995);PrmMan3D
Professional Blackjack (1987);ProBJ87
P-Robots (1988);PRobots
Professional Underground League of Pain (1997);Professi
Prohibition (1987);Prohibit
Project Neptune (1989);ProjectN
Project Paradise (1997);ProjectP
Project Space Station (1987);ProjectS
Project-X (1994);ProjectX
Project - Weltuntergang (2002);ProjWelt
Pro-League Baseball (1987);ProLeag
Pro League Baseball (1992);ProLeagu
Prophecy 1 - The Viking Child (1991);Prophecy
Prophecy - The Fall of Trinadon (1989);prophfal
Prophecy of the Shadow (1992);prophsha
Pro Pinball - Timeshock! (1997);ProPinTS
Pro Pinball - The Web (1995);ProPinW
Prost Grand Prix 1998 (1998);ProstGra
Professional Tennis Simulator (1990);ProTenSi
Prototype (1995);Proto
Proton (1987);Proton87
Protostar - War on the Frontier (1993);protost
Proto Type (1989);ProtoTyp
Prowler (1987);Prowler
Przekleta Ziemia (1998);Przeklet
Przygody Krzysia (1999);Przygody
Psi-5 Trading Company (1986);Psi-5Tra
Psion Chess (1985);PsiChe85
Psionics (1993);Psionic
Psychic Detective (1995);psychicd
Psycho (1988);psychoif
Psycho Killer (1993);psychokl
Psycho Pinball (1995);PsychoPi
PT-109 (1987);PT-109
Ptakovina (2017);Ptakovin
PT Boat Simulator (1994);PTBoatSi
Pro Team Soccer (1995);PTSoc
Pub Pool (1987);PubPool
Puffwort's Evil Scheme (1995);Puffwort
Pulse (1996);Pulse96
Pump Fighters (1998);PumpFig
Pune (1995);Pune1995
Punk Allen Trilogy, The (2001);PunkAlen
Punky Duck (1996);PunkDuck
Once Upon A Time... Puppet Playhouse (1993);PupPlay
Purple Saturn Day (1989);PurpleSa
Legend of the Purple Tit, The (1994);purptit
Pusher (2014);Pusher14
Pushover (1992);Pushover
Putt-Putt and Fatty Bear's Activity Pack (1993);Putt-Put
Putt-Putt Goes to the Moon (1993);puttmoon
Putt-Putt Joins the Parade (1992);puttpara
Putt-Putt's Fun Pack (1993);PuttPut
Putty Squad (1995);puttyS
Put Up (1991);PutUp
Puyo Puyo 2 (1995);Puyo2
Puzzle Bobble (1994);PuzBob
Puzza (1996);Puzza96
Puzz and Brain (1994);PuzzBrai
Puzzle Fun-Pak (1989);puzzfun
Puzznic (1990);Puzznic
Puzzle Storybook (1988);PuzzStry
Py & Gity 2 - The Industrial Age (1996);PyGity2T
Pyl (1999);Pyl
Pylon Racer (1985);PylonRac
Pyramid of Doom (1981);pyradoom
Pyramids of Egypt (1989);PyraEgyp
Pyramid Power (1986);PyramidP
Pyramid Solitaire (1991);PyramidS
Pyramid (1992);Pyrmid92
Pyro II (1990);PyroII90
Pyromania (1997);Pyromani
Pyrotechnica (1995);Pyrotech
Python (1989);Python89
Q!Zone (1996);Q!Zone
QAD - Quintessential Art of Destruction (1996);QADQuint
Qbert (1984);Qbert
Queen - The Eye (1998);qeye
Quest for Al-Qaeda - The Hunt for Bin Laden (2002);QfAlQaed
Quest for Glory 412 - So You Thought You Were A Hero (2001);qfg45
Quest for Hussein (2002);QforHuss
Quest for the Cheat, The (2007);QftC
Quest for Glory I - So You Want to be a Hero VGA (1992);QG1NEW
Quest for Glory I - So You Want to be a Hero (1989);QG1OLD
Quest for Glory II - Trial by Fire (1990);QG2
Quest for Glory III - Wages of War (1992);QG3E
Quest for Glory IV - Shadows of Darkness (1993);QG4CD
Gorillas (1991);qgor
QikServe (1988);QikServ
QIX (1989);QIX
Qi Xiao Quan (1990);QiXiao
Quik Majik Adventure (1991);qmajik
Quest - The Dungeon Escape (1996);QtDEsc
Quad (1984);Quad1984
Quadnet (1998);Quadnet
Quadralien (1988);Quadrali
Quadrant (1984);Quadrant
Quadrax (1996);Quadrax
Quadrel (1990);Quadrel
Quake (1996);Quake
Quake - Episode 5 - Dimensions of the Past (2016);QuakeEp5
Quake Level Master V (1997);QuakeLMV
Quake Mission Pack No 1 Scourge of Armagon (1997);QuakeM1
Quake Mission Pack No 2 Dissolution of Eternity (1997);QuakeM2
Quandaries (1998);Quand
Secret Island of Dr. Quandary, The (1992);quandary
Quantoids of Nebulus IV (1987);QuanONIV
Quarantine (1994);Quarant
Quarantine II - Road Warrior (1995);Quarant2
Quarky & Quaysoo's Turbo Science (1992);QuarkyQu
Quarterback Attack (1996);Quarterb
QuarterPole (1993);QuarterP
Quasar (1990);Quaser90
Quato (1995);quato
Quatris II+ (1993);Quatris2
Quatris II Gold (1998);QuatrisG
Quest of Kukulcan (1987);QuesKuk
Quest ][ (1995);quest2
Quest, The (1984);Quest84
Questron II (1988);questrn2
Quest of Yog (1989);QuesYog
Quien es Cualo (1994);Quien94
Quik the Thunder Rabbit (1994);QuiktheT
Quink (1984);quink
Quivering, The (1998);quiver
Quiver (1997);Quiver97
Usurper, The - The Mines Of Qyntarr (1989);qyntarr
Rabbit and Turtle (1994);RabTut94
Race! (1989);Race!
Race (1996);Race1996
Racecar (1983);RaceCr83
Race Drivin' (1992);RaceDriv
Racer Jammer (1982);RaceJamm
Race Mania (1995);RaceMani
Racer (1994);Racer94
Race the Nags (1993);RacetheN
Rachunkowe Abecadlo (1994);RachAbec
Rack 'Em (1988);RackEm
Racter (1984);racter
R-activ (1995);Ractiv
Rad Fighter (1994);RadFite
Radio Baseball (1986);RadioBas
Radix - Beyond the Void (1995);RadixBey
Rad Warrior (1987);RadWarri
Rage Against the Machine (1997);RageMach
Rags to Riches The Financial Market Simulation (1993);RagstoRi
Raiden (1994);Raiden
Raiders of the Forbidden Mine (1988);RaiFMine
Railroad Empire (1989);Railroad
Rain (1985);Rain85
Raku Master (1995);rakumast
Rallo Gump (1994);RalloGum
Rally Championships (1994);RallyCha
Rallye Racing 97 (1996);RallyeRa
Rally-K! (1995);RallyK!
Rally Sport (1996);RallySp
Ralph Bosson's High Seas (1988);RalphBos
R.A.M. (1990);RAM
RAM! (1985);RAM85
Rama (1996);rama
Rambo - First Blood Part II (1985);rambo1st
Rambo III (1989);RamboIII
Rampage (1988);Rampage
Rampart (1992);Rampart
Rampcube (1991);Rampcube
RAMSAK (1982);RAMSAK
Ramses (1994);Ramses94
Ranadin 2.0 (1989);Ranad2
Ranadinn (1988);Ranadinn
Ranx - The Video Game (1990);RanxTheV
Rapid Assault (1995);RapAss95
Rapid Response (1991);rapresp
Raptor - Call of the Shadows (1994);RaptorCa
Realms of Arkania - Blade of Destiny (1992);rarkani1
Realms of Arkania 3 - Shadows over Riva (1996);rarkani3
Rastan (1990);Rastan
Rasterscan (1988);rastscan
Rath-Tha (1992);RathTha
Ratillery (2016);Ratillry
RatMaze (1989);RatMaz89
Ravage (1996);Ravage
Dark Sun II - Wake of the Ravager (1994);RAVAGER
Ravenloft - Stone Prophet (1995);ravenlo2
Ravenloft - Strahd's Possession (1994);ravenlof
Rayman (1995);Rayman
Rayman Forever (1998);RaymanF
R.B.I. Baseball 2 (1991);RBIBaseb
Rob Blanc I - Better Days of a Defender of the Universe (2000);RBlanc1
Rob Blanc II - Planet of the Pasteurised Pestilence (2000);RBlanc2
Rob Blanc III - The Temporal Terrorists (2000);RBlanc3
Reach out for Gold (1993);RchGld93
Retro City Rampage - DX (2015);RCRampDX
Rise of the Dragon (1990);rdragon
Reach for the Stars - The Conquest of the Galaxy (1986);Reachfor
Reach for the Skies (1993);ReachFtS
Reader Rabbit (1989);ReadRab
Reader Rabbit 2 (1991);ReadRab2
Reader Rabbit 3 (1993);ReadRab3
Reader Rabbit's Ready for Letters (1992);ReadRabL
Read 'N Roll (1988);ReadRoll
Realms (1991);Realms
Realms of Chaos (1995);Realmsof
Reaping the Dungeon (1993);reapdung
Rebel Century (2001);RebelCen
Rebel Charge at Chickamauga (1987);RebelCha
Rebel Decade (2004);RebelDec
Rebel Moon (1995);RebelMoo
Rebel Runner - Operation - Digital Code (1996);RebelRun
Rebound (1985);Reboun85
Dive - The Conquest Of Silver Eye (1996);RECALL
Red Babe (1994);RedBabe
Red Baron, The (1986);RedBar86
Red Baron (1990);RedBaron
RedCat 2 - De Ontvoering van Prinses Dana (1995);RedCat2
RedCat (1994);RedCat94
Red Crystal, The - The Seven Secrets of Life (1993);redcryss
Red Devils (1997);RedDev
Red Devils 2 (1998);RedDev2
Red Dwarf (1996);RedDwarf
Red Ghost (1995);RedGhost
Elder Scrolls Adventures, The - Redguard (1998);RedGuard
Redhook's Revenge (1993);Redhook
Red Lightning (1989);RedLight
Redneck Deer Huntin' (1997);RedneckD
Red Planet (1989);redplane
Redneck Rampage (1997);RedRam
Redneck Rampage - Suckin' Grits on Route 66 (1998);RedRam66
Redneck Rampage Rides Again (1998);RedRamRA
Once Upon A Time - Little Red Riding Hood (1991);redridin
Red Sky at Morning (1993);RedSkyaM
Red Storm Rising (1989);RedStorm
Reflex Point (1985);ReflexP
Regatta (1992);Regatta
Relentless Logic (1985);Relentle
Relix (1993);relix
Re-Loaded (1997);ReLoade
RemorseView (included game) (1997);Remor97
Remote Control (1989);RemoteCo
Remember Tomorrow (1998);RemTom98
Renegade - Battle for Jacob's Star (1995);RenBfJS
Rendezvous with Rama (1984);rendrama
Renegade (1988);Renega88
Renegade Legion - Interceptor (1990);Renegade
Renegade II Return to Jacob Star (1996);RenRtJS
Reon's Adventure (1994);ReonAdv
Repossessor, The (2001);reposses
Requiem for a Heavyweight (1989);ReqFAH
Residence 44 Quest (1999);Res4499
Rescate En El Golfo (1990);RescateE
Rescue of Lorri in Lorrinitron, The (1991);resclori
Rescue the Scientists (1994);RescSci
Rescue (1990);Rescue90
Rescue Rover (1991);RescueR1
Rescue Rover 2 (1991);RescueR2
Resurrection - Rise 2 (1996);Resurrec
Return to Doom (1988);retdoom
Return of the Dinosaurs (1988);RetODino
Retribution (1994);Retribut
Return of the Mutant Space Bats of Doom (1995);Returnof
Return to Kroz (1990);Returnto
Reunion (1994);Reunion
Revenge of the Eland (1986);RevEland
Revelation (1992);Revelati
Reversi (1985);Rever85
Revenge of Frogger (1995);RevFrog
Revolution '76 (1989);revo76
Revenge of Defender (1989);RevoDef
Revolt of Dons Knights (1996);RevoDK
Revolution X (1995);Revoluti
Revenge of the Mutant Camels (1994);RevoMC
Rex Blade - The Apocalypse (1996);RexBladA
Rex Nebular and the Cosmic Gender Bender (1992);rexneb
Real Fighter (1995);RFight95
Rich Tauber's Bass Champ (1991);RichTaub
Rick Dangerous 2 (1990);RickDan2
Rick Dangerous (1989);RickDang
Rick Davis's World Trophy Soccer (1989);RickDavi
Ricochet (1993);ricochet
Riddle of Master Lu, The (1995);riddle
Rimtrix (1989);rimtrix
Rimworld (1987);Rimworld
Ring Cycle (1996);RING
Rings of Medusa (1990);RingsofM
Rings of the Magi - Grand Master Edition (1995);Ringsoft
Rings of Zilfin (1987);ringzilf
Ripper (1996);ripper
Rise of the Robots (1994);RiseotR
Risk (1986);Risk86
Risky Woods (1992);RiskyWoo
River Raid (1984);RiverRai
River Run (1996);RiverRun
Rudyard Kipling's The Jungle Book (1995);RKJunBk
Richard Longhurst and the Box that Ate Time (2001);RLatBtAT
Road Fighter (1985);RoadFite
Road Hog! (1995);RoadHog!
Road Runner (1989);RoadRunn
Roadwar 2000 (1987);roadwar
Roadwar Europa (1987);roadware
Robak (1991);Robak
Robbo (1994);Robbo
Robinson's Requiem (1994);robinson
Robix (1993);robix
Robot I-IV Collection (1990);Robo1234
Robotron - 2084 (1995);Robo2084
RoboCop (1989);RoboCop
RoboCop 3 (1992);RoboCop3
Robots from Hell (1989);RoboHell
Robot Hunter (1994);RoboHunt
robotfindskitten (1997);robokitt
Roboman (1989);Roboman
Robomaze (1989);robomaz1
Robomaze III (1991);robomaz3
RoboMaze II (1991);RoboMaze
Robot Odyssey (1985);roboody
Robot Tank (1990);RoboTank
Robotica (1995);Robotica
Robot II - Das Labyrinth im Wald (1990);RobotIID
Robot III - Insel der heiligen Prufung (1992);RobotIII
Robot IV - Operation ExtraTax (1993);RobotIVO
Robot Junior (1991);RobotJun
Roboto (1992);Roboto92
Robot Rascals (1987);RobotRas
Robotron - 2084 (1983);Robotron
Robot Warfare 1 (1999);RoboWar1
RoboCop (1988);RocCop89
Rock and Bach Studio (1993);rockbach
Rocket Duel (1999);RockDuel
Rocket (1981);Rocket81
Rocket Chase (1997);RocketCh
Rocket Lander (1982);RocketLa
Rocket Rangers (1990);RocketR
Rockets (1986);Rockets
Rocket Fighter (1993);RockFite
Rockford - The Arcade Game (1987);Rockford
Rock Games (1989);RockGame
Rock Man (1994);RockMan
Rock 'n Roll (1990);RocknRo
Rock'N Roller (1992);RockNRol
Rocket Ranger (1988);rockrang
Rocks (1997);Rocks97
Rock-Slide (1989);RockSli
Rocks 'n' Diamonds (1998);RocksnDi
Rockstar (1989);rockstar
Rocky's Boots (1985);RockysB
Rodger Ramrod (1996);rodger
Rodge Rock In Retroactive (1995);RodgeRoc
Rodney's Funscreen (1992);RodneysF
Rogue Clone (1988);rogclon
Rogue (1983);rogue
Roketz (1996);Roketz
Roland Garros 97 (1997);RolandG
Rol Crusaders (1995);RolCrusa
Rollerblade Racer (1992);Rollerbl
Roller Coaster Rumbler (1990);RollerCo
Rollin (1995);Rollin
Rolling Jack (1994);RollingJ
Rolling Ronny (1991);RollingR
Rollo and the Brush Brothers (1983);Rolloand
Romance of the Three Kingdoms (1989);Rom3K
Romance of the Three Kingdoms II (1990);Rom3K2
Romance of the Three Kingdoms III - Dragon of Destiny (1993);Rom3K3
Romantic Blue (1994);ROMANTIC
Romantic Encounters at the Dome (1988);romdome
Rome - Pathway to Power (1993);romepath
Rommel - Battles for North Africa (1989);ROMMBfNA
Rompe Muros (1989);RompMuro
Blast off (2001);ronboff
Rooms of the Abyss (1992);RoomAby
Rooster (1995);Rooster
Rorke's Drift (1990);RorkesD
Rosemary West's House of Fortunes (1993);Rosemary
Rostov (1997);Rostov
Rotaktix (1993);Rotaktix
Rotating Pong (2002);RotaPong
Romance of the Forgotten Kingdom (1995);RotFK95
Realms of the Haunting (1997);ROTH
Rotor (1990);Rotor
Rotox (1990);Rotox
Realm of the Paladin Deceptions Plague (1995);RotPDP
Rise of the Triad - The Hunt Begins (Deluxe Edition) (1995);RotTDLX
Rise of the Triad - Dark War (1994);RotTDW
Round 42 (1986);Round42
ROX (1993);ROX
Royal Flush (1994);RoyalFlu
Return of the Phantom (1993);rphantom
Return to Pirate's Island (1983);rpirate
Road Rally (1983);RRally83
Railroad Switch Challenge (1982);RRSwitch
RS-2 (1990);RS2
R.S.A Darts (1993);RSADa
R-Space I - Viktor's Escape (1991);RSViktor
Rubic (1989);Rubic
Avenger of Rubicon (1990);rubicon
Rubicon Trail (1988);RubiconT
Rubik Cube (1991);RubikCub
Rubik's Cube (1982);RubiksC
Ruckus Poker (1993);RuckusPk
Ruckus Roulette (1993);RuckusRo
Rugby World Cup 95 (1995);RugbyWor
Rules of Engagement (1991);RuleEng1
Rules of Engagement 2 (1993);RuleEng2
Rumpelstiltskin's Labyrinth of the Lost (1995);rumpel
Runaway (1990);run1990
Runcibal Quest (1992);Runcibal
Runaway City (1998);runcity
Run for the Money (1984);RunMon84
Runaway (1994);runmonk
Runoff (1990);Runoff
Rush Hour (1987);RushHour
Rush'n Attack (1989);RushnAtt
Russian Front II - The Kursk Campaign (1990);RussianF
Rusty (1993);Rusty93
Ringworld - Revenge of the Patriarch (1992);rw1
Return to Ringworld (1994);rw2
Ryder Cup - Johnnie Walker (1994);RyderCu
Rygar (1996);Rygar96
Return to Zork (1993);rzork
Saban's Iznogoud (1997);SabansIz
Sabotaje (1988);Sabotaje
Saboteur II (1987);Saboteur
Sabre Team (1994);SabreTea
Sadko (1993);sadko
SAF - Secret Armored Force (1997);SAF97
Safari Guns (1989);SafariGu
Safe Opening Simulator (1993);SafeOpen
Sailing... an adventure in the Bermuda Triangle (1983);Sailing
Space Aliens Laughed at My Cardigan (1993);SALAMC
Salchicha Mortal (1995);SalcMort
Saloon (1986);saloon
Same or Different (1989);SameorDi
Sam & Max Hit the Road (1993);samnmax
Samotnik (1991);Samotnik
Super Samtong (1994);samtong
South American Trek (1986);SAmTrek
Sanctuary (1989);sancty
Saint and Greavsie (1989);SandG89
Sands of Fire (1990);SandsofF
Sandstorm (1992);Sandstm
Sand Storm - The Championship Version (1992);SandStor
Sandwarriors (1996);Sandwarr
Sango Fighter 2 (1995);SangoFi2
Sango Fighter (1993);SangoFig
Santa Fe Mysteries - The Elk Moon Murder (1996);santaelk
Santa Paravia and Fiumaccio (1988);SantaPar
Santa Fe Mysteries - Sacred Ground (1997);santasac
Santa's Xmas Caper (1993);SantasXm
Saper (1993);Saper
Sarakon (1991);Sarakon
Sarge (1989);Sarge
Sargon 4 (1989);Sargon4
Sargon 5 - World Class Chess (1991);Sargon5
Sargon III (1983);SargonII
Satan (1990);Satan
Satori (1990);Satori90
Sauro (1997);sauro
Savage (1988);Savage
Savage Warriors (1995);SavageWa
Savage Future (1999);SavagFut
Save Larisa (1998);SaveLari
Fisher-Price - School Bus Driver (1988);SBusDriv
Spellcasting 101 - Sorcerers Get All the Girls (1990);sc101
Spellcasting 201 - The Sorcerers Appliance (1991);sc201
Street Count 2 Plus (1994);SC2Plus
